IP Address,HTTP Method,URL,Status Code,Anomaly
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/kibana-search.png,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/kibana-dashboard3.png,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/plugin/highlight/highlight.js,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/plugin/zoom-js/zoom.js,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/plugin/notes/notes.js,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/sad-medic.png,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/css/fonts/Roboto-Bold.ttf,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/css/fonts/Roboto-Regular.ttf,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/frontend-response-codes.png,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/kibana-dashboard.png,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/Dreamhost_logo.svg,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/kibana-dashboard2.png,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/apache-icon.gif,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/nagios-sms5.png,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/redis.png,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/elasticsearch.png,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/logstashbook.png,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/github-contributions.png,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/css/print/paper.css,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/1983_delorean_dmc-12-pic-38289.jpeg,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/simple-inputs-filters-outputs.jpg,200,0
83.149.9.216,GET,/presentations/logstash-monitorama-2013/images/tiered-outputs-to-inputs.jpg,200,0
83.149.9.216,GET,/favicon.ico,200,0
24.236.252.67,GET,/favicon.ico,200,0
93.114.45.13,GET,/articles/dynamic-dns-with-dhcp/,200,0
93.114.45.13,GET,/reset.css,200,0
93.114.45.13,GET,/style2.css,200,0
93.114.45.13,GET,/favicon.ico,200,0
93.114.45.13,GET,/images/jordan-80.png,200,0
93.114.45.13,GET,/images/web/2009/banner.png,200,0
66.249.73.135,GET,/blog/tags/ipv6,200,0
50.16.19.13,GET,/blog/tags/puppet?flav=rss20,200,0
66.249.73.185,GET,/,200,0
110.136.166.128,GET,/projects/xdotool/,200,0
46.105.14.53,GET,/blog/tags/puppet?flav=rss20,200,0
110.136.166.128,GET,/reset.css,200,0
110.136.166.128,GET,/style2.css,200,0
110.136.166.128,GET,/favicon.ico,200,0
110.136.166.128,GET,/images/jordan-80.png,200,0
123.125.71.35,GET,/blog/tags/release,200,0
110.136.166.128,GET,/images/web/2009/banner.png,200,0
50.150.204.184,GET,/images/googledotcom.png,200,0
207.241.237.225,GET,/blog/tags/examples,200,0
200.49.190.101,GET,/reset.css,200,0
200.49.190.100,GET,/blog/tags/web,200,0
200.49.190.101,GET,/style2.css,200,0
200.49.190.101,GET,/images/jordan-80.png,200,0
